Record: East Asia & Pacific (excluding high income) (EAP), indicator=Total_Population
East Asia & Pacific (excluding high income) observed population_year2000=1819011507 persons.
East Asia & Pacific (excluding high income) observed population_year2001=1836260943 persons.
East Asia & Pacific (excluding high income) observed population_year2002=1852659155 persons.
East Asia & Pacific (excluding high income) observed population_year2003=1868409996 persons.
East Asia & Pacific (excluding high income) observed population_year2004=1883675167 persons.
East Asia & Pacific (excluding high income) observed population_year2005=1898853723 persons.
East Asia & Pacific (excluding high income) observed population_year2006=1914002124 persons.
East Asia & Pacific (excluding high income) observed population_year2007=1929185103 persons.
East Asia & Pacific (excluding high income) observed population_year2008=1944305887 persons.
East Asia & Pacific (excluding high income) observed population_year2009=1959017463 persons.
East Asia & Pacific (excluding high income) observed population_year2010=1973602166 persons.
East Asia & Pacific (excluding high income) observed population_year2011=1989106668 persons.
East Asia & Pacific (excluding high income) observed population_year2012=2006566431 persons.
East Asia & Pacific (excluding high income) observed population_year2013=2023850158 persons.
East Asia & Pacific (excluding high income) observed population_year2014=2040383789 persons.
East Asia & Pacific (excluding high income) observed population_year2015=2056050896 persons.
East Asia & Pacific (excluding high income) observed population_year2016=2071486140 persons.
East Asia & Pacific (excluding high income) observed population_year2017=2087238522 persons.
East Asia & Pacific (excluding high income) observed population_year2018=2100698838 persons.
East Asia & Pacific (excluding high income) observed population_year2019=2112289891 persons.
East Asia & Pacific (excluding high income) observed population_year2020=2121866294 persons.
East Asia & Pacific (excluding high income) observed population_year2021=2128553744 persons.
East Asia & Pacific (excluding high income) observed population_year2022=2133560408 persons.
East Asia & Pacific (excluding high income) observed population_year2023=2137527754 persons.
