Record: Gibraltar (GIB), indicator=Total_Population
Gibraltar observed population_year2000=27709 persons.
Gibraltar observed population_year2001=27657 persons.
Gibraltar observed population_year2002=27831 persons.
Gibraltar observed population_year2003=28274 persons.
Gibraltar observed population_year2004=28715 persons.
Gibraltar observed population_year2005=29163 persons.
Gibraltar observed population_year2006=29594 persons.
Gibraltar observed population_year2007=30006 persons.
Gibraltar observed population_year2008=30413 persons.
Gibraltar observed population_year2009=30823 persons.
Gibraltar observed population_year2010=31248 persons.
Gibraltar observed population_year2011=31660 persons.
Gibraltar observed population_year2012=32029 persons.
Gibraltar observed population_year2013=32407 persons.
Gibraltar observed population_year2014=32813 persons.
Gibraltar observed population_year2015=33193 persons.
Gibraltar observed population_year2016=33658 persons.
Gibraltar observed population_year2017=34245 persons.
Gibraltar observed population_year2018=34854 persons.
Gibraltar observed population_year2019=35494 persons.
Gibraltar observed population_year2020=36173 persons.
Gibraltar observed population_year2021=36858 persons.
Gibraltar observed population_year2022=37609 persons.
Gibraltar observed population_year2023=38471 persons.
