Record: West Bank and Gaza (PSE), indicator=Total_Population
West Bank and Gaza observed population_year2000=2922153 persons.
West Bank and Gaza observed population_year2001=2997784 persons.
West Bank and Gaza observed population_year2002=3075373 persons.
West Bank and Gaza observed population_year2003=3154969 persons.
West Bank and Gaza observed population_year2004=3236626 persons.
West Bank and Gaza observed population_year2005=3320396 persons.
West Bank and Gaza observed population_year2006=3406334 persons.
West Bank and Gaza observed population_year2007=3494496 persons.
West Bank and Gaza observed population_year2008=3591977 persons.
West Bank and Gaza observed population_year2009=3689099 persons.
West Bank and Gaza observed population_year2010=3786161 persons.
West Bank and Gaza observed population_year2011=3882986 persons.
West Bank and Gaza observed population_year2012=3979998 persons.
West Bank and Gaza observed population_year2013=4076708 persons.
West Bank and Gaza observed population_year2014=4173398 persons.
West Bank and Gaza observed population_year2015=4270092 persons.
West Bank and Gaza observed population_year2016=4367088 persons.
West Bank and Gaza observed population_year2017=4454805 persons.
West Bank and Gaza observed population_year2018=4569087 persons.
West Bank and Gaza observed population_year2019=4685306 persons.
West Bank and Gaza observed population_year2020=4803269 persons.
West Bank and Gaza observed population_year2021=4922749 persons.
West Bank and Gaza observed population_year2022=5043612 persons.
West Bank and Gaza observed population_year2023=5165775 persons.
