Record: Fiji (FJI), indicator=Total_Population
Fiji observed population_year2000=840909 persons.
Fiji observed population_year2001=849596 persons.
Fiji observed population_year2002=858049 persons.
Fiji observed population_year2003=866286 persons.
Fiji observed population_year2004=874366 persons.
Fiji observed population_year2005=882379 persons.
Fiji observed population_year2006=890365 persons.
Fiji observed population_year2007=897832 persons.
Fiji observed population_year2008=903399 persons.
Fiji observed population_year2009=907239 persons.
Fiji observed population_year2010=910419 persons.
Fiji observed population_year2011=912989 persons.
Fiji observed population_year2012=914918 persons.
Fiji observed population_year2013=916352 persons.
Fiji observed population_year2014=917585 persons.
Fiji observed population_year2015=918578 persons.
Fiji observed population_year2016=919166 persons.
Fiji observed population_year2017=918759 persons.
Fiji observed population_year2018=917180 persons.
Fiji observed population_year2019=914899 persons.
Fiji observed population_year2020=914963 persons.
Fiji observed population_year2021=916711 persons.
Fiji observed population_year2022=919422 persons.
Fiji observed population_year2023=924145 persons.
