Record: Late-demographic dividend (LTE), indicator=Total_Population
Late-demographic dividend observed population_year2000=2043581322 persons.
Late-demographic dividend observed population_year2001=2058600486 persons.
Late-demographic dividend observed population_year2002=2072599555 persons.
Late-demographic dividend observed population_year2003=2086139068 persons.
Late-demographic dividend observed population_year2004=2099412663 persons.
Late-demographic dividend observed population_year2005=2112603351 persons.
Late-demographic dividend observed population_year2006=2126122277 persons.
Late-demographic dividend observed population_year2007=2139958608 persons.
Late-demographic dividend observed population_year2008=2153941306 persons.
Late-demographic dividend observed population_year2009=2167303374 persons.
Late-demographic dividend observed population_year2010=2179525352 persons.
Late-demographic dividend observed population_year2011=2193171336 persons.
Late-demographic dividend observed population_year2012=2209319631 persons.
Late-demographic dividend observed population_year2013=2225005187 persons.
Late-demographic dividend observed population_year2014=2241122152 persons.
Late-demographic dividend observed population_year2015=2256126712 persons.
Late-demographic dividend observed population_year2016=2270841806 persons.
Late-demographic dividend observed population_year2017=2285870134 persons.
Late-demographic dividend observed population_year2018=2298394042 persons.
Late-demographic dividend observed population_year2019=2308878047 persons.
Late-demographic dividend observed population_year2020=2316152451 persons.
Late-demographic dividend observed population_year2021=2320127638 persons.
Late-demographic dividend observed population_year2022=2323799591 persons.
Late-demographic dividend observed population_year2023=2326296729 persons.
