Record: Fragile and conflict affected situations (FCS), indicator=Total_Population
Fragile and conflict affected situations observed population_year2000=621080692 persons.
Fragile and conflict affected situations observed population_year2001=635481068 persons.
Fragile and conflict affected situations observed population_year2002=651226758 persons.
Fragile and conflict affected situations observed population_year2003=667644273 persons.
Fragile and conflict affected situations observed population_year2004=684007365 persons.
Fragile and conflict affected situations observed population_year2005=700820603 persons.
Fragile and conflict affected situations observed population_year2006=717975893 persons.
Fragile and conflict affected situations observed population_year2007=735110300 persons.
Fragile and conflict affected situations observed population_year2008=753058095 persons.
Fragile and conflict affected situations observed population_year2009=772015937 persons.
Fragile and conflict affected situations observed population_year2010=791371804 persons.
Fragile and conflict affected situations observed population_year2011=810972272 persons.
Fragile and conflict affected situations observed population_year2012=831065598 persons.
Fragile and conflict affected situations observed population_year2013=851404936 persons.
Fragile and conflict affected situations observed population_year2014=871345375 persons.
Fragile and conflict affected situations observed population_year2015=890869511 persons.
Fragile and conflict affected situations observed population_year2016=910836458 persons.
Fragile and conflict affected situations observed population_year2017=931222867 persons.
Fragile and conflict affected situations observed population_year2018=951851595 persons.
Fragile and conflict affected situations observed population_year2019=973035228 persons.
Fragile and conflict affected situations observed population_year2020=994901090 persons.
Fragile and conflict affected situations observed population_year2021=1016906998 persons.
Fragile and conflict affected situations observed population_year2022=1036390026 persons.
Fragile and conflict affected situations observed population_year2023=1057033168 persons.
