Record: Tonga (TON), indicator=Total_Population
Tonga observed population_year2000=102677 persons.
Tonga observed population_year2001=103288 persons.
Tonga observed population_year2002=103874 persons.
Tonga observed population_year2003=104464 persons.
Tonga observed population_year2004=105071 persons.
Tonga observed population_year2005=105671 persons.
Tonga observed population_year2006=106253 persons.
Tonga observed population_year2007=106726 persons.
Tonga observed population_year2008=107020 persons.
Tonga observed population_year2009=107203 persons.
Tonga observed population_year2010=107400 persons.
Tonga observed population_year2011=107570 persons.
Tonga observed population_year2012=107460 persons.
Tonga observed population_year2013=107078 persons.
Tonga observed population_year2014=106609 persons.
Tonga observed population_year2015=106095 persons.
Tonga observed population_year2016=105524 persons.
Tonga observed population_year2017=105356 persons.
Tonga observed population_year2018=105567 persons.
Tonga observed population_year2019=105669 persons.
Tonga observed population_year2020=105704 persons.
Tonga observed population_year2021=105490 persons.
Tonga observed population_year2022=105042 persons.
Tonga observed population_year2023=104597 persons.
