Record: Low & middle income (LMY), indicator=Total_Population
Low & middle income observed population_year2000=4814250279 persons.
Low & middle income observed population_year2001=4888551481 persons.
Low & middle income observed population_year2002=4961926647 persons.
Low & middle income observed population_year2003=5034824498 persons.
Low & middle income observed population_year2004=5108183576 persons.
Low & middle income observed population_year2005=5181562375 persons.
Low & middle income observed population_year2006=5255157355 persons.
Low & middle income observed population_year2007=5328158709 persons.
Low & middle income observed population_year2008=5402245137 persons.
Low & middle income observed population_year2009=5477389130 persons.
Low & middle income observed population_year2010=5553257507 persons.
Low & middle income observed population_year2011=5630227189 persons.
Low & middle income observed population_year2012=5709148191 persons.
Low & middle income observed population_year2013=5787391504 persons.
Low & middle income observed population_year2014=5865202078 persons.
Low & middle income observed population_year2015=5941222744 persons.
Low & middle income observed population_year2016=6017111688 persons.
Low & middle income observed population_year2017=6093971714 persons.
Low & middle income observed population_year2018=6169658713 persons.
Low & middle income observed population_year2019=6243562839 persons.
Low & middle income observed population_year2020=6313913801 persons.
Low & middle income observed population_year2021=6378323939 persons.
Low & middle income observed population_year2022=6437946207 persons.
Low & middle income observed population_year2023=6498875200 persons.
