Record: St. Kitts and Nevis (KNA), indicator=Total_Population
St. Kitts and Nevis observed population_year2000=45248 persons.
St. Kitts and Nevis observed population_year2001=45761 persons.
St. Kitts and Nevis observed population_year2002=46020 persons.
St. Kitts and Nevis observed population_year2003=46176 persons.
St. Kitts and Nevis observed population_year2004=46315 persons.
St. Kitts and Nevis observed population_year2005=46437 persons.
St. Kitts and Nevis observed population_year2006=46569 persons.
St. Kitts and Nevis observed population_year2007=46706 persons.
St. Kitts and Nevis observed population_year2008=46835 persons.
St. Kitts and Nevis observed population_year2009=46916 persons.
St. Kitts and Nevis observed population_year2010=46846 persons.
St. Kitts and Nevis observed population_year2011=46886 persons.
St. Kitts and Nevis observed population_year2012=47033 persons.
St. Kitts and Nevis observed population_year2013=47069 persons.
St. Kitts and Nevis observed population_year2014=47089 persons.
St. Kitts and Nevis observed population_year2015=47087 persons.
St. Kitts and Nevis observed population_year2016=47075 persons.
St. Kitts and Nevis observed population_year2017=47050 persons.
St. Kitts and Nevis observed population_year2018=47008 persons.
St. Kitts and Nevis observed population_year2019=46952 persons.
St. Kitts and Nevis observed population_year2020=46870 persons.
St. Kitts and Nevis observed population_year2021=46763 persons.
St. Kitts and Nevis observed population_year2022=46709 persons.
St. Kitts and Nevis observed population_year2023=46758 persons.
