Record: Iceland (ISL), indicator=Total_Population
Iceland observed population_year2000=281205 persons.
Iceland observed population_year2001=284968 persons.
Iceland observed population_year2002=287523 persons.
Iceland observed population_year2003=289521 persons.
Iceland observed population_year2004=292074 persons.
Iceland observed population_year2005=296734 persons.
Iceland observed population_year2006=303782 persons.
Iceland observed population_year2007=311566 persons.
Iceland observed population_year2008=317414 persons.
Iceland observed population_year2009=318499 persons.
Iceland observed population_year2010=318041 persons.
Iceland observed population_year2011=319014 persons.
Iceland observed population_year2012=320716 persons.
Iceland observed population_year2013=323764 persons.
Iceland observed population_year2014=327386 persons.
Iceland observed population_year2015=330815 persons.
Iceland observed population_year2016=335439 persons.
Iceland observed population_year2017=343400 persons.
Iceland observed population_year2018=352721 persons.
Iceland observed population_year2019=360563 persons.
Iceland observed population_year2020=366463 persons.
Iceland observed population_year2021=372520 persons.
Iceland observed population_year2022=382003 persons.
Iceland observed population_year2023=385663 persons.
