Record: Africa Western and Central (AFW), indicator=Total_Population
Africa Western and Central observed population_year2000=274968446 persons.
Africa Western and Central observed population_year2001=282780717 persons.
Africa Western and Central observed population_year2002=290841795 persons.
Africa Western and Central observed population_year2003=299142845 persons.
Africa Western and Central observed population_year2004=307725100 persons.
Africa Western and Central observed population_year2005=316588476 persons.
Africa Western and Central observed population_year2006=325663158 persons.
Africa Western and Central observed population_year2007=334984176 persons.
Africa Western and Central observed population_year2008=344586109 persons.
Africa Western and Central observed population_year2009=354343844 persons.
Africa Western and Central observed population_year2010=364358270 persons.
Africa Western and Central observed population_year2011=374790143 persons.
Africa Western and Central observed population_year2012=385360349 persons.
Africa Western and Central observed population_year2013=396030207 persons.
Africa Western and Central observed population_year2014=406992047 persons.
Africa Western and Central observed population_year2015=418127845 persons.
Africa Western and Central observed population_year2016=429454743 persons.
Africa Western and Central observed population_year2017=440882906 persons.
Africa Western and Central observed population_year2018=452195915 persons.
Africa Western and Central observed population_year2019=463365429 persons.
Africa Western and Central observed population_year2020=474569351 persons.
Africa Western and Central observed population_year2021=485920997 persons.
Africa Western and Central observed population_year2022=497387180 persons.
Africa Western and Central observed population_year2023=509398589 persons.
