Record: Cabo Verde (CPV), indicator=Total_Population
Cabo Verde observed population_year2000=453317 persons.
Cabo Verde observed population_year2001=460293 persons.
Cabo Verde observed population_year2002=467046 persons.
Cabo Verde observed population_year2003=473383 persons.
Cabo Verde observed population_year2004=479370 persons.
Cabo Verde observed population_year2005=485115 persons.
Cabo Verde observed population_year2006=490728 persons.
Cabo Verde observed population_year2007=496190 persons.
Cabo Verde observed population_year2008=501355 persons.
Cabo Verde observed population_year2009=506141 persons.
Cabo Verde observed population_year2010=509784 persons.
Cabo Verde observed population_year2011=511447 persons.
Cabo Verde observed population_year2012=511955 persons.
Cabo Verde observed population_year2013=512225 persons.
Cabo Verde observed population_year2014=512326 persons.
Cabo Verde observed population_year2015=512394 persons.
Cabo Verde observed population_year2016=512554 persons.
Cabo Verde observed population_year2017=512893 persons.
Cabo Verde observed population_year2018=513415 persons.
Cabo Verde observed population_year2019=514104 persons.
Cabo Verde observed population_year2020=514679 persons.
Cabo Verde observed population_year2021=516649 persons.
Cabo Verde observed population_year2022=519741 persons.
Cabo Verde observed population_year2023=522331 persons.
