Record: Montenegro (MNE), indicator=Total_Population
Montenegro observed population_year2000=604950 persons.
Montenegro observed population_year2001=607389 persons.
Montenegro observed population_year2002=609828 persons.
Montenegro observed population_year2003=612267 persons.
Montenegro observed population_year2004=613353 persons.
Montenegro observed population_year2005=614261 persons.
Montenegro observed population_year2006=615025 persons.
Montenegro observed population_year2007=615875 persons.
Montenegro observed population_year2008=616969 persons.
Montenegro observed population_year2009=618294 persons.
Montenegro observed population_year2010=619428 persons.
Montenegro observed population_year2011=620345 persons.
Montenegro observed population_year2012=621418 persons.
Montenegro observed population_year2013=622587 persons.
Montenegro observed population_year2014=623744 persons.
Montenegro observed population_year2015=624651 persons.
Montenegro observed population_year2016=625353 persons.
Montenegro observed population_year2017=625982 persons.
Montenegro observed population_year2018=626438 persons.
Montenegro observed population_year2019=626753 persons.
Montenegro observed population_year2020=626590 persons.
Montenegro observed population_year2021=625053 persons.
Montenegro observed population_year2022=623591 persons.
Montenegro observed population_year2023=623529 persons.
