Record: Botswana (BWA), indicator=Total_Population
Botswana observed population_year2000=1677382 persons.
Botswana observed population_year2001=1712254 persons.
Botswana observed population_year2002=1744763 persons.
Botswana observed population_year2003=1775736 persons.
Botswana observed population_year2004=1807146 persons.
Botswana observed population_year2005=1839877 persons.
Botswana observed population_year2006=1874516 persons.
Botswana observed population_year2007=1911201 persons.
Botswana observed population_year2008=1949970 persons.
Botswana observed population_year2009=1990673 persons.
Botswana observed population_year2010=2033111 persons.
Botswana observed population_year2011=2073535 persons.
Botswana observed population_year2012=2108617 persons.
Botswana observed population_year2013=2140682 persons.
Botswana observed population_year2014=2172044 persons.
Botswana observed population_year2015=2203273 persons.
Botswana observed population_year2016=2234776 persons.
Botswana observed population_year2017=2266747 persons.
Botswana observed population_year2018=2299141 persons.
Botswana observed population_year2019=2332083 persons.
Botswana observed population_year2020=2365894 persons.
Botswana observed population_year2021=2401441 persons.
Botswana observed population_year2022=2439892 persons.
Botswana observed population_year2023=2480244 persons.
