Record: Sub-Saharan Africa (IDA & IBRD countries) (TSS), indicator=Total_Population
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2000=681125107 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2001=699588585 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2002=718662153 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2003=738316131 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2004=758653144 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2005=779665113 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2006=801269368 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2007=823564883 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2008=846656872 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2009=870347292 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2010=894666657 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2011=919528126 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2012=944970310 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2013=971232906 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2014=997961037 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2015=1025251114 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2016=1052824144 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2017=1080941647 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2018=1109997000 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2019=1139315618 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2020=1169015451 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2021=1199011925 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2022=1229208573 persons.
Sub-Saharan Africa (IDA & IBRD countries) observed population_year2023=1259889959 persons.
