Record: Lower middle income (LMC), indicator=Total_Population
Lower middle income observed population_year2000=2126559759 persons.
Lower middle income observed population_year2001=2169474338 persons.
Lower middle income observed population_year2002=2211549617 persons.
Lower middle income observed population_year2003=2253206148 persons.
Lower middle income observed population_year2004=2295275996 persons.
Lower middle income observed population_year2005=2336911352 persons.
Lower middle income observed population_year2006=2378783316 persons.
Lower middle income observed population_year2007=2421545203 persons.
Lower middle income observed population_year2008=2464036877 persons.
Lower middle income observed population_year2009=2506795582 persons.
Lower middle income observed population_year2010=2550264612 persons.
Lower middle income observed population_year2011=2593815085 persons.
Lower middle income observed population_year2012=2637101332 persons.
Lower middle income observed population_year2013=2679816109 persons.
Lower middle income observed population_year2014=2723061855 persons.
Lower middle income observed population_year2015=2765011526 persons.
Lower middle income observed population_year2016=2806590212 persons.
Lower middle income observed population_year2017=2847931114 persons.
Lower middle income observed population_year2018=2888561818 persons.
Lower middle income observed population_year2019=2928617292 persons.
Lower middle income observed population_year2020=2968398856 persons.
Lower middle income observed population_year2021=3006243027 persons.
Lower middle income observed population_year2022=3043358377 persons.
Lower middle income observed population_year2023=3082002881 persons.
