Record: Samoa (WSM), indicator=Total_Population
Samoa observed population_year2000=181685 persons.
Samoa observed population_year2001=183166 persons.
Samoa observed population_year2002=184471 persons.
Samoa observed population_year2003=185430 persons.
Samoa observed population_year2004=186249 persons.
Samoa observed population_year2005=186978 persons.
Samoa observed population_year2006=187709 persons.
Samoa observed population_year2007=188753 persons.
Samoa observed population_year2008=190107 persons.
Samoa observed population_year2009=191513 persons.
Samoa observed population_year2010=193023 persons.
Samoa observed population_year2011=194713 persons.
Samoa observed population_year2012=196498 persons.
Samoa observed population_year2013=198268 persons.
Samoa observed population_year2014=200037 persons.
Samoa observed population_year2015=201782 persons.
Samoa observed population_year2016=203499 persons.
Samoa observed population_year2017=205415 persons.
Samoa observed population_year2018=207582 persons.
Samoa observed population_year2019=209780 persons.
Samoa observed population_year2020=211944 persons.
Samoa observed population_year2021=213779 persons.
Samoa observed population_year2022=215261 persons.
Samoa observed population_year2023=216663 persons.
