Record: Bulgaria (BGR), indicator=Total_Population
Bulgaria observed population_year2000=8170172 persons.
Bulgaria observed population_year2001=8009142 persons.
Bulgaria observed population_year2002=7837161 persons.
Bulgaria observed population_year2003=7775327 persons.
Bulgaria observed population_year2004=7716860 persons.
Bulgaria observed population_year2005=7658972 persons.
Bulgaria observed population_year2006=7601022 persons.
Bulgaria observed population_year2007=7545338 persons.
Bulgaria observed population_year2008=7492561 persons.
Bulgaria observed population_year2009=7444443 persons.
Bulgaria observed population_year2010=7395599 persons.
Bulgaria observed population_year2011=7348328 persons.
Bulgaria observed population_year2012=7305888 persons.
Bulgaria observed population_year2013=7160005 persons.
Bulgaria observed population_year2014=7073572 persons.
Bulgaria observed population_year2015=6984225 persons.
Bulgaria observed population_year2016=6894139 persons.
Bulgaria observed population_year2017=6803468 persons.
Bulgaria observed population_year2018=6710798 persons.
Bulgaria observed population_year2019=6616726 persons.
Bulgaria observed population_year2020=6550696 persons.
Bulgaria observed population_year2021=6507301 persons.
Bulgaria observed population_year2022=6465097 persons.
Bulgaria observed population_year2023=6446596 persons.
