Record: Guinea-Bissau (GNB), indicator=Total_Population
Guinea-Bissau observed population_year2000=1234741 persons.
Guinea-Bissau observed population_year2001=1261273 persons.
Guinea-Bissau observed population_year2002=1289307 persons.
Guinea-Bissau observed population_year2003=1318806 persons.
Guinea-Bissau observed population_year2004=1349563 persons.
Guinea-Bissau observed population_year2005=1381585 persons.
Guinea-Bissau observed population_year2006=1415303 persons.
Guinea-Bissau observed population_year2007=1450986 persons.
Guinea-Bissau observed population_year2008=1488054 persons.
Guinea-Bissau observed population_year2009=1526377 persons.
Guinea-Bissau observed population_year2010=1566347 persons.
Guinea-Bissau observed population_year2011=1608076 persons.
Guinea-Bissau observed population_year2012=1651417 persons.
Guinea-Bissau observed population_year2013=1695973 persons.
Guinea-Bissau observed population_year2014=1741122 persons.
Guinea-Bissau observed population_year2015=1786457 persons.
Guinea-Bissau observed population_year2016=1831893 persons.
Guinea-Bissau observed population_year2017=1877072 persons.
Guinea-Bissau observed population_year2018=1922168 persons.
Guinea-Bissau observed population_year2019=1967696 persons.
Guinea-Bissau observed population_year2020=2013255 persons.
Guinea-Bissau observed population_year2021=2058841 persons.
Guinea-Bissau observed population_year2022=2105529 persons.
Guinea-Bissau observed population_year2023=2153339 persons.
