Record: Bhutan (BTN), indicator=Total_Population
Bhutan observed population_year2000=596863 persons.
Bhutan observed population_year2001=610794 persons.
Bhutan observed population_year2002=624409 persons.
Bhutan observed population_year2003=637663 persons.
Bhutan observed population_year2004=650544 persons.
Bhutan observed population_year2005=661865 persons.
Bhutan observed population_year2006=670799 persons.
Bhutan observed population_year2007=678641 persons.
Bhutan observed population_year2008=686351 persons.
Bhutan observed population_year2009=693988 persons.
Bhutan observed population_year2010=701632 persons.
Bhutan observed population_year2011=709377 persons.
Bhutan observed population_year2012=717279 persons.
Bhutan observed population_year2013=725273 persons.
Bhutan observed population_year2014=733139 persons.
Bhutan observed population_year2015=740618 persons.
Bhutan observed population_year2016=747866 persons.
Bhutan observed population_year2017=754335 persons.
Bhutan observed population_year2018=759759 persons.
Bhutan observed population_year2019=764824 persons.
Bhutan observed population_year2020=770006 persons.
Bhutan observed population_year2021=775442 persons.
Bhutan observed population_year2022=780914 persons.
Bhutan observed population_year2023=786385 persons.
