Record: Switzerland (CHE), indicator=Total_Population
Switzerland observed population_year2000=7184250 persons.
Switzerland observed population_year2001=7229854 persons.
Switzerland observed population_year2002=7284753 persons.
Switzerland observed population_year2003=7339001 persons.
Switzerland observed population_year2004=7389625 persons.
Switzerland observed population_year2005=7437115 persons.
Switzerland observed population_year2006=7483934 persons.
Switzerland observed population_year2007=7551117 persons.
Switzerland observed population_year2008=7647675 persons.
Switzerland observed population_year2009=7743831 persons.
Switzerland observed population_year2010=7824909 persons.
Switzerland observed population_year2011=7912398 persons.
Switzerland observed population_year2012=7996861 persons.
Switzerland observed population_year2013=8089346 persons.
Switzerland observed population_year2014=8188649 persons.
Switzerland observed population_year2015=8282396 persons.
Switzerland observed population_year2016=8373338 persons.
Switzerland observed population_year2017=8451840 persons.
Switzerland observed population_year2018=8514329 persons.
Switzerland observed population_year2019=8575280 persons.
Switzerland observed population_year2020=8638167 persons.
Switzerland observed population_year2021=8704546 persons.
Switzerland observed population_year2022=8777088 persons.
Switzerland observed population_year2023=8888822 persons.
