Record: Pacific island small states (PSS), indicator=Total_Population
Pacific island small states observed population_year2000=2042274 persons.
Pacific island small states observed population_year2001=2069097 persons.
Pacific island small states observed population_year2002=2095273 persons.
Pacific island small states observed population_year2003=2120592 persons.
Pacific island small states observed population_year2004=2145505 persons.
Pacific island small states observed population_year2005=2170029 persons.
Pacific island small states observed population_year2006=2194265 persons.
Pacific island small states observed population_year2007=2218230 persons.
Pacific island small states observed population_year2008=2240739 persons.
Pacific island small states observed population_year2009=2262456 persons.
Pacific island small states observed population_year2010=2289399 persons.
Pacific island small states observed population_year2011=2320899 persons.
Pacific island small states observed population_year2012=2351924 persons.
Pacific island small states observed population_year2013=2382931 persons.
Pacific island small states observed population_year2014=2414338 persons.
Pacific island small states observed population_year2015=2445989 persons.
Pacific island small states observed population_year2016=2477794 persons.
Pacific island small states observed population_year2017=2509999 persons.
Pacific island small states observed population_year2018=2542009 persons.
Pacific island small states observed population_year2019=2568656 persons.
Pacific island small states observed population_year2020=2595522 persons.
Pacific island small states observed population_year2021=2625493 persons.
Pacific island small states observed population_year2022=2656049 persons.
Pacific island small states observed population_year2023=2689224 persons.
