Record: Mongolia (MNG), indicator=Total_Population
Mongolia observed population_year2000=2388299 persons.
Mongolia observed population_year2001=2417751 persons.
Mongolia observed population_year2002=2449027 persons.
Mongolia observed population_year2003=2480374 persons.
Mongolia observed population_year2004=2508412 persons.
Mongolia observed population_year2005=2536407 persons.
Mongolia observed population_year2006=2567168 persons.
Mongolia observed population_year2007=2601850 persons.
Mongolia observed population_year2008=2643201 persons.
Mongolia observed population_year2009=2691115 persons.
Mongolia observed population_year2010=2738622 persons.
Mongolia observed population_year2011=2786317 persons.
Mongolia observed population_year2012=2839705 persons.
Mongolia observed population_year2013=2899011 persons.
Mongolia observed population_year2014=2963113 persons.
Mongolia observed population_year2015=3026864 persons.
Mongolia observed population_year2016=3088856 persons.
Mongolia observed population_year2017=3148917 persons.
Mongolia observed population_year2018=3208189 persons.
Mongolia observed population_year2019=3267673 persons.
Mongolia observed population_year2020=3327204 persons.
Mongolia observed population_year2021=3383741 persons.
Mongolia observed population_year2022=3433748 persons.
Mongolia observed population_year2023=3481145 persons.
