Record: Virgin Islands (U.S.) (VIR), indicator=Total_Population
Virgin Islands (U.S.) observed population_year2000=108642 persons.
Virgin Islands (U.S.) observed population_year2001=108549 persons.
Virgin Islands (U.S.) observed population_year2002=108509 persons.
Virgin Islands (U.S.) observed population_year2003=108505 persons.
Virgin Islands (U.S.) observed population_year2004=108466 persons.
Virgin Islands (U.S.) observed population_year2005=108453 persons.
Virgin Islands (U.S.) observed population_year2006=108369 persons.
Virgin Islands (U.S.) observed population_year2007=108337 persons.
Virgin Islands (U.S.) observed population_year2008=108397 persons.
Virgin Islands (U.S.) observed population_year2009=108404 persons.
Virgin Islands (U.S.) observed population_year2010=108357 persons.
Virgin Islands (U.S.) observed population_year2011=108290 persons.
Virgin Islands (U.S.) observed population_year2012=108188 persons.
Virgin Islands (U.S.) observed population_year2013=108041 persons.
Virgin Islands (U.S.) observed population_year2014=107882 persons.
Virgin Islands (U.S.) observed population_year2015=107712 persons.
Virgin Islands (U.S.) observed population_year2016=107516 persons.
Virgin Islands (U.S.) observed population_year2017=107281 persons.
Virgin Islands (U.S.) observed population_year2018=107001 persons.
Virgin Islands (U.S.) observed population_year2019=106669 persons.
Virgin Islands (U.S.) observed population_year2020=106290 persons.
Virgin Islands (U.S.) observed population_year2021=105870 persons.
Virgin Islands (U.S.) observed population_year2022=105413 persons.
Virgin Islands (U.S.) observed population_year2023=104917 persons.
