Record: Puerto Rico (US) (PRI), indicator=Total_Population
Puerto Rico (US) observed population_year2000=3810605 persons.
Puerto Rico (US) observed population_year2001=3818774 persons.
Puerto Rico (US) observed population_year2002=3823701 persons.
Puerto Rico (US) observed population_year2003=3826095 persons.
Puerto Rico (US) observed population_year2004=3826878 persons.
Puerto Rico (US) observed population_year2005=3821362 persons.
Puerto Rico (US) observed population_year2006=3805214 persons.
Puerto Rico (US) observed population_year2007=3782995 persons.
Puerto Rico (US) observed population_year2008=3760866 persons.
Puerto Rico (US) observed population_year2009=3740410 persons.
Puerto Rico (US) observed population_year2010=3724465 persons.
Puerto Rico (US) observed population_year2011=3693464 persons.
Puerto Rico (US) observed population_year2012=3661045 persons.
Puerto Rico (US) observed population_year2013=3631427 persons.
Puerto Rico (US) observed population_year2014=3585017 persons.
Puerto Rico (US) observed population_year2015=3535167 persons.
Puerto Rico (US) observed population_year2016=3480432 persons.
Puerto Rico (US) observed population_year2017=3410837 persons.
Puerto Rico (US) observed population_year2018=3290690 persons.
Puerto Rico (US) observed population_year2019=3302691 persons.
Puerto Rico (US) observed population_year2020=3281590 persons.
Puerto Rico (US) observed population_year2021=3262711 persons.
Puerto Rico (US) observed population_year2022=3220137 persons.
Puerto Rico (US) observed population_year2023=3203792 persons.
