Record: Timor-Leste (TLS), indicator=Total_Population
Timor-Leste observed population_year2000=745088 persons.
Timor-Leste observed population_year2001=812249 persons.
Timor-Leste observed population_year2002=879159 persons.
Timor-Leste observed population_year2003=916878 persons.
Timor-Leste observed population_year2004=929074 persons.
Timor-Leste observed population_year2005=948311 persons.
Timor-Leste observed population_year2006=976597 persons.
Timor-Leste observed population_year2007=1004889 persons.
Timor-Leste observed population_year2008=1032429 persons.
Timor-Leste observed population_year2009=1058782 persons.
Timor-Leste observed population_year2010=1084679 persons.
Timor-Leste observed population_year2011=1110207 persons.
Timor-Leste observed population_year2012=1134885 persons.
Timor-Leste observed population_year2013=1158695 persons.
Timor-Leste observed population_year2014=1181903 persons.
Timor-Leste observed population_year2015=1205131 persons.
Timor-Leste observed population_year2016=1228312 persons.
Timor-Leste observed population_year2017=1251703 persons.
Timor-Leste observed population_year2018=1275959 persons.
Timor-Leste observed population_year2019=1300945 persons.
Timor-Leste observed population_year2020=1326053 persons.
Timor-Leste observed population_year2021=1350139 persons.
Timor-Leste observed population_year2022=1369295 persons.
Timor-Leste observed population_year2023=1384286 persons.
