Record: Turkmenistan (TKM), indicator=Total_Population
Turkmenistan observed population_year2000=4582677 persons.
Turkmenistan observed population_year2001=4675409 persons.
Turkmenistan observed population_year2002=4769465 persons.
Turkmenistan observed population_year2003=4863865 persons.
Turkmenistan observed population_year2004=4958093 persons.
Turkmenistan observed population_year2005=5052257 persons.
Turkmenistan observed population_year2006=5147105 persons.
Turkmenistan observed population_year2007=5244046 persons.
Turkmenistan observed population_year2008=5345029 persons.
Turkmenistan observed population_year2009=5451592 persons.
Turkmenistan observed population_year2010=5564356 persons.
Turkmenistan observed population_year2011=5683417 persons.
Turkmenistan observed population_year2012=5808546 persons.
Turkmenistan observed population_year2013=5939341 persons.
Turkmenistan observed population_year2014=6075283 persons.
Turkmenistan observed population_year2015=6215770 persons.
Turkmenistan observed population_year2016=6360041 persons.
Turkmenistan observed population_year2017=6507061 persons.
Turkmenistan observed population_year2018=6655524 persons.
Turkmenistan observed population_year2019=6803944 persons.
Turkmenistan observed population_year2020=6949912 persons.
Turkmenistan observed population_year2021=7092043 persons.
Turkmenistan observed population_year2022=7230193 persons.
Turkmenistan observed population_year2023=7364438 persons.
