Record: Kyrgyz Republic (KGZ), indicator=Total_Population
Kyrgyz Republic observed population_year2000=4898362 persons.
Kyrgyz Republic observed population_year2001=4945073 persons.
Kyrgyz Republic observed population_year2002=4990704 persons.
Kyrgyz Republic observed population_year2003=5043308 persons.
Kyrgyz Republic observed population_year2004=5104713 persons.
Kyrgyz Republic observed population_year2005=5162640 persons.
Kyrgyz Republic observed population_year2006=5218373 persons.
Kyrgyz Republic observed population_year2007=5268385 persons.
Kyrgyz Republic observed population_year2008=5318729 persons.
Kyrgyz Republic observed population_year2009=5389643 persons.
Kyrgyz Republic observed population_year2010=5467059 persons.
Kyrgyz Republic observed population_year2011=5546587 persons.
Kyrgyz Republic observed population_year2012=5652076 persons.
Kyrgyz Republic observed population_year2013=5777150 persons.
Kyrgyz Republic observed population_year2014=5905848 persons.
Kyrgyz Republic observed population_year2015=6040036 persons.
Kyrgyz Republic observed population_year2016=6175338 persons.
Kyrgyz Republic observed population_year2017=6306696 persons.
Kyrgyz Republic observed population_year2018=6444079 persons.
Kyrgyz Republic observed population_year2019=6590211 persons.
Kyrgyz Republic observed population_year2020=6726596 persons.
Kyrgyz Republic observed population_year2021=6851224 persons.
Kyrgyz Republic observed population_year2022=6975220 persons.
Kyrgyz Republic observed population_year2023=7099750 persons.
