Record: Upper middle income (UMC), indicator=Total_Population
Upper middle income observed population_year2000=2365022283 persons.
Upper middle income observed population_year2001=2387807616 persons.
Upper middle income observed population_year2002=2409341702 persons.
Upper middle income observed population_year2003=2430373908 persons.
Upper middle income observed population_year2004=2451601935 persons.
Upper middle income observed population_year2005=2472862826 persons.
Upper middle income observed population_year2006=2493333038 persons.
Upper middle income observed population_year2007=2512165159 persons.
Upper middle income observed population_year2008=2532345548 persons.
Upper middle income observed population_year2009=2553016162 persons.
Upper middle income observed population_year2010=2573477299 persons.
Upper middle income observed population_year2011=2594753350 persons.
Upper middle income observed population_year2012=2618393970 persons.
Upper middle income observed population_year2013=2642487513 persons.
Upper middle income observed population_year2014=2665669456 persons.
Upper middle income observed population_year2015=2687902951 persons.
Upper middle income observed population_year2016=2709372162 persons.
Upper middle income observed population_year2017=2731150081 persons.
Upper middle income observed population_year2018=2751574852 persons.
Upper middle income observed population_year2019=2769964564 persons.
Upper middle income observed population_year2020=2784871872 persons.
Upper middle income observed population_year2021=2796004294 persons.
Upper middle income observed population_year2022=2803106334 persons.
Upper middle income observed population_year2023=2809097616 persons.
