Record: Central Europe and the Baltics (CEB), indicator=Total_Population
Central Europe and the Baltics observed population_year2000=108447824 persons.
Central Europe and the Baltics observed population_year2001=107660041 persons.
Central Europe and the Baltics observed population_year2002=106959751 persons.
Central Europe and the Baltics observed population_year2003=106624167 persons.
Central Europe and the Baltics observed population_year2004=106331716 persons.
Central Europe and the Baltics observed population_year2005=106041911 persons.
Central Europe and the Baltics observed population_year2006=105772481 persons.
Central Europe and the Baltics observed population_year2007=105378748 persons.
Central Europe and the Baltics observed population_year2008=105001883 persons.
Central Europe and the Baltics observed population_year2009=104800475 persons.
Central Europe and the Baltics observed population_year2010=104421447 persons.
Central Europe and the Baltics observed population_year2011=104174038 persons.
Central Europe and the Baltics observed population_year2012=103929494 persons.
Central Europe and the Baltics observed population_year2013=103570062 persons.
Central Europe and the Baltics observed population_year2014=103280478 persons.
Central Europe and the Baltics observed population_year2015=102973167 persons.
Central Europe and the Baltics observed population_year2016=102647939 persons.
Central Europe and the Baltics observed population_year2017=102337501 persons.
Central Europe and the Baltics observed population_year2018=102074201 persons.
Central Europe and the Baltics observed population_year2019=101864274 persons.
Central Europe and the Baltics observed population_year2020=101215763 persons.
Central Europe and the Baltics observed population_year2021=100205732 persons.
Central Europe and the Baltics observed population_year2022=100071871 persons.
Central Europe and the Baltics observed population_year2023=100183707 persons.
