Record: Saudi Arabia (SAU), indicator=Total_Population
Saudi Arabia observed population_year2000=16177722 persons.
Saudi Arabia observed population_year2001=17041397 persons.
Saudi Arabia observed population_year2002=17910910 persons.
Saudi Arabia observed population_year2003=18786767 persons.
Saudi Arabia observed population_year2004=19669480 persons.
Saudi Arabia observed population_year2005=20559890 persons.
Saudi Arabia observed population_year2006=21459144 persons.
Saudi Arabia observed population_year2007=22368313 persons.
Saudi Arabia observed population_year2008=23287877 persons.
Saudi Arabia observed population_year2009=24217654 persons.
Saudi Arabia observed population_year2010=23978487 persons.
Saudi Arabia observed population_year2011=25091867 persons.
Saudi Arabia observed population_year2012=26168861 persons.
Saudi Arabia observed population_year2013=27624004 persons.
Saudi Arabia observed population_year2014=28309273 persons.
Saudi Arabia observed population_year2015=29816382 persons.
Saudi Arabia observed population_year2016=30954198 persons.
Saudi Arabia observed population_year2017=30977355 persons.
Saudi Arabia observed population_year2018=30196281 persons.
Saudi Arabia observed population_year2019=30063799 persons.
Saudi Arabia observed population_year2020=31552510 persons.
Saudi Arabia observed population_year2021=30784383 persons.
Saudi Arabia observed population_year2022=32175224 persons.
Saudi Arabia observed population_year2023=33702731 persons.
