Record: Kiribati (KIR), indicator=Total_Population
Kiribati observed population_year2000=88613 persons.
Kiribati observed population_year2001=90335 persons.
Kiribati observed population_year2002=92264 persons.
Kiribati observed population_year2003=94175 persons.
Kiribati observed population_year2004=96085 persons.
Kiribati observed population_year2005=98035 persons.
Kiribati observed population_year2006=100017 persons.
Kiribati observed population_year2007=102068 persons.
Kiribati observed population_year2008=104222 persons.
Kiribati observed population_year2009=106467 persons.
Kiribati observed population_year2010=108704 persons.
Kiribati observed population_year2011=110647 persons.
Kiribati observed population_year2012=112284 persons.
Kiribati observed population_year2013=113838 persons.
Kiribati observed population_year2014=115326 persons.
Kiribati observed population_year2015=116815 persons.
Kiribati observed population_year2016=118478 persons.
Kiribati observed population_year2017=120275 persons.
Kiribati observed population_year2018=122084 persons.
Kiribati observed population_year2019=123921 persons.
Kiribati observed population_year2020=126099 persons.
Kiribati observed population_year2021=128377 persons.
Kiribati observed population_year2022=130469 persons.
Kiribati observed population_year2023=132530 persons.
