Record: Grenada (GRD), indicator=Total_Population
Grenada observed population_year2000=107451 persons.
Grenada observed population_year2001=107987 persons.
Grenada observed population_year2002=108404 persons.
Grenada observed population_year2003=108884 persons.
Grenada observed population_year2004=109323 persons.
Grenada observed population_year2005=109734 persons.
Grenada observed population_year2006=110135 persons.
Grenada observed population_year2007=110522 persons.
Grenada observed population_year2008=110896 persons.
Grenada observed population_year2009=111254 persons.
Grenada observed population_year2010=111586 persons.
Grenada observed population_year2011=112079 persons.
Grenada observed population_year2012=112775 persons.
Grenada observed population_year2013=113487 persons.
Grenada observed population_year2014=114132 persons.
Grenada observed population_year2015=114676 persons.
Grenada observed population_year2016=115130 persons.
Grenada observed population_year2017=115438 persons.
Grenada observed population_year2018=115691 persons.
Grenada observed population_year2019=115981 persons.
Grenada observed population_year2020=116341 persons.
Grenada observed population_year2021=116688 persons.
Grenada observed population_year2022=116913 persons.
Grenada observed population_year2023=117081 persons.
