Record: Antigua and Barbuda (ATG), indicator=Total_Population
Antigua and Barbuda observed population_year2000=74912 persons.
Antigua and Barbuda observed population_year2001=76069 persons.
Antigua and Barbuda observed population_year2002=77032 persons.
Antigua and Barbuda observed population_year2003=77884 persons.
Antigua and Barbuda observed population_year2004=78719 persons.
Antigua and Barbuda observed population_year2005=79611 persons.
Antigua and Barbuda observed population_year2006=80604 persons.
Antigua and Barbuda observed population_year2007=81704 persons.
Antigua and Barbuda observed population_year2008=82912 persons.
Antigua and Barbuda observed population_year2009=84173 persons.
Antigua and Barbuda observed population_year2010=85320 persons.
Antigua and Barbuda observed population_year2011=86332 persons.
Antigua and Barbuda observed population_year2012=87260 persons.
Antigua and Barbuda observed population_year2013=88064 persons.
Antigua and Barbuda observed population_year2014=88765 persons.
Antigua and Barbuda observed population_year2015=89409 persons.
Antigua and Barbuda observed population_year2016=89969 persons.
Antigua and Barbuda observed population_year2017=90468 persons.
Antigua and Barbuda observed population_year2018=90926 persons.
Antigua and Barbuda observed population_year2019=91364 persons.
Antigua and Barbuda observed population_year2020=91846 persons.
Antigua and Barbuda observed population_year2021=92349 persons.
Antigua and Barbuda observed population_year2022=92840 persons.
Antigua and Barbuda observed population_year2023=93316 persons.
