Record: Sub-Saharan Africa (excluding high income) (SSA), indicator=Total_Population
Sub-Saharan Africa (excluding high income) observed population_year2000=613632482 persons.
Sub-Saharan Africa (excluding high income) observed population_year2001=630019621 persons.
Sub-Saharan Africa (excluding high income) observed population_year2002=646942913 persons.
Sub-Saharan Africa (excluding high income) observed population_year2003=664400687 persons.
Sub-Saharan Africa (excluding high income) observed population_year2004=682493463 persons.
Sub-Saharan Africa (excluding high income) observed population_year2005=701214785 persons.
Sub-Saharan Africa (excluding high income) observed population_year2006=720481278 persons.
Sub-Saharan Africa (excluding high income) observed population_year2007=740376633 persons.
Sub-Saharan Africa (excluding high income) observed population_year2008=761026248 persons.
Sub-Saharan Africa (excluding high income) observed population_year2009=782252358 persons.
Sub-Saharan Africa (excluding high income) observed population_year2010=804038373 persons.
Sub-Saharan Africa (excluding high income) observed population_year2011=826290715 persons.
Sub-Saharan Africa (excluding high income) observed population_year2012=849083240 persons.
Sub-Saharan Africa (excluding high income) observed population_year2013=872704206 persons.
Sub-Saharan Africa (excluding high income) observed population_year2014=896754068 persons.
Sub-Saharan Africa (excluding high income) observed population_year2015=921290560 persons.
Sub-Saharan Africa (excluding high income) observed population_year2016=946011305 persons.
Sub-Saharan Africa (excluding high income) observed population_year2017=971179323 persons.
Sub-Saharan Africa (excluding high income) observed population_year2018=997236086 persons.
Sub-Saharan Africa (excluding high income) observed population_year2019=1023480610 persons.
Sub-Saharan Africa (excluding high income) observed population_year2020=1049999318 persons.
Sub-Saharan Africa (excluding high income) observed population_year2021=1076774079 persons.
Sub-Saharan Africa (excluding high income) observed population_year2022=1103704408 persons.
Sub-Saharan Africa (excluding high income) observed population_year2023=1131078494 persons.
