Record: Europe & Central Asia (ECS), indicator=Total_Population
Europe & Central Asia observed population_year2000=865392479 persons.
Europe & Central Asia observed population_year2001=866590696 persons.
Europe & Central Asia observed population_year2002=868234843 persons.
Europe & Central Asia observed population_year2003=870529446 persons.
Europe & Central Asia observed population_year2004=873069464 persons.
Europe & Central Asia observed population_year2005=875563919 persons.
Europe & Central Asia observed population_year2006=878166933 persons.
Europe & Central Asia observed population_year2007=880656346 persons.
Europe & Central Asia observed population_year2008=884224673 persons.
Europe & Central Asia observed population_year2009=887741128 persons.
Europe & Central Asia observed population_year2010=890990371 persons.
Europe & Central Asia observed population_year2011=893009595 persons.
Europe & Central Asia observed population_year2012=896514510 persons.
Europe & Central Asia observed population_year2013=899907172 persons.
Europe & Central Asia observed population_year2014=903561071 persons.
Europe & Central Asia observed population_year2015=907527486 persons.
Europe & Central Asia observed population_year2016=911579016 persons.
Europe & Central Asia observed population_year2017=915065824 persons.
Europe & Central Asia observed population_year2018=918689254 persons.
Europe & Central Asia observed population_year2019=921932163 persons.
Europe & Central Asia observed population_year2020=923664467 persons.
Europe & Central Asia observed population_year2021=924381062 persons.
Europe & Central Asia observed population_year2022=924234471 persons.
Europe & Central Asia observed population_year2023=924773523 persons.
