Record: Costa Rica (CRI), indicator=Total_Population
Costa Rica observed population_year2000=3937739 persons.
Costa Rica observed population_year2001=4008947 persons.
Costa Rica observed population_year2002=4075705 persons.
Costa Rica observed population_year2003=4138784 persons.
Costa Rica observed population_year2004=4200078 persons.
Costa Rica observed population_year2005=4261240 persons.
Costa Rica observed population_year2006=4321340 persons.
Costa Rica observed population_year2007=4380248 persons.
Costa Rica observed population_year2008=4440056 persons.
Costa Rica observed population_year2009=4499791 persons.
Costa Rica observed population_year2010=4555962 persons.
Costa Rica observed population_year2011=4609833 persons.
Costa Rica observed population_year2012=4663934 persons.
Costa Rica observed population_year2013=4716147 persons.
Costa Rica observed population_year2014=4767119 persons.
Costa Rica observed population_year2015=4818038 persons.
Costa Rica observed population_year2016=4866998 persons.
Costa Rica observed population_year2017=4913177 persons.
Costa Rica observed population_year2018=4957818 persons.
Costa Rica observed population_year2019=4999553 persons.
Costa Rica observed population_year2020=5034320 persons.
Costa Rica observed population_year2021=5059988 persons.
Costa Rica observed population_year2022=5081765 persons.
Costa Rica observed population_year2023=5105525 persons.
