Record: San Marino (SMR), indicator=Total_Population
San Marino observed population_year2000=26799 persons.
San Marino observed population_year2001=27143 persons.
San Marino observed population_year2002=27491 persons.
San Marino observed population_year2003=27843 persons.
San Marino observed population_year2004=29457 persons.
San Marino observed population_year2005=29836 persons.
San Marino observed population_year2006=30184 persons.
San Marino observed population_year2007=31211 persons.
San Marino observed population_year2008=31662 persons.
San Marino observed population_year2009=33066 persons.
San Marino observed population_year2010=33270 persons.
San Marino observed population_year2011=32620 persons.
San Marino observed population_year2012=33469 persons.
San Marino observed population_year2013=33041 persons.
San Marino observed population_year2014=32655 persons.
San Marino observed population_year2015=32897 persons.
San Marino observed population_year2016=33101 persons.
San Marino observed population_year2017=33825 persons.
San Marino observed population_year2018=34522 persons.
San Marino observed population_year2019=34663 persons.
San Marino observed population_year2020=34770 persons.
San Marino observed population_year2021=34252 persons.
San Marino observed population_year2022=33755 persons.
San Marino observed population_year2023=33860 persons.
