Record: Barbados (BRB), indicator=Total_Population
Barbados observed population_year2000=262063 persons.
Barbados observed population_year2001=262425 persons.
Barbados observed population_year2002=264148 persons.
Barbados observed population_year2003=265776 persons.
Barbados observed population_year2004=267298 persons.
Barbados observed population_year2005=268706 persons.
Barbados observed population_year2006=270002 persons.
Barbados observed population_year2007=271288 persons.
Barbados observed population_year2008=272714 persons.
Barbados observed population_year2009=274123 persons.
Barbados observed population_year2010=275243 persons.
Barbados observed population_year2011=276139 persons.
Barbados observed population_year2012=276938 persons.
Barbados observed population_year2013=277665 persons.
Barbados observed population_year2014=278348 persons.
Barbados observed population_year2015=278990 persons.
Barbados observed population_year2016=279598 persons.
Barbados observed population_year2017=280171 persons.
Barbados observed population_year2018=280711 persons.
Barbados observed population_year2019=281207 persons.
Barbados observed population_year2020=281698 persons.
Barbados observed population_year2021=282147 persons.
Barbados observed population_year2022=282318 persons.
Barbados observed population_year2023=282336 persons.
