Record: Liechtenstein (LIE), indicator=Total_Population
Liechtenstein observed population_year2000=32645 persons.
Liechtenstein observed population_year2001=33194 persons.
Liechtenstein observed population_year2002=33694 persons.
Liechtenstein observed population_year2003=34079 persons.
Liechtenstein observed population_year2004=34447 persons.
Liechtenstein observed population_year2005=34753 persons.
Liechtenstein observed population_year2006=35037 persons.
Liechtenstein observed population_year2007=35262 persons.
Liechtenstein observed population_year2008=35473 persons.
Liechtenstein observed population_year2009=35742 persons.
Liechtenstein observed population_year2010=36022 persons.
Liechtenstein observed population_year2011=36312 persons.
Liechtenstein observed population_year2012=36657 persons.
Liechtenstein observed population_year2013=36984 persons.
Liechtenstein observed population_year2014=37248 persons.
Liechtenstein observed population_year2015=37494 persons.
Liechtenstein observed population_year2016=37716 persons.
Liechtenstein observed population_year2017=37962 persons.
Liechtenstein observed population_year2018=38246 persons.
Liechtenstein observed population_year2019=38563 persons.
Liechtenstein observed population_year2020=38901 persons.
Liechtenstein observed population_year2021=39182 persons.
Liechtenstein observed population_year2022=39493 persons.
Liechtenstein observed population_year2023=39846 persons.
