Record: Curacao (CUW), indicator=Total_Population
Curacao observed population_year2000=133860 persons.
Curacao observed population_year2001=129047 persons.
Curacao observed population_year2002=129205 persons.
Curacao observed population_year2003=131897 persons.
Curacao observed population_year2004=134192 persons.
Curacao observed population_year2005=137658 persons.
Curacao observed population_year2006=141239 persons.
Curacao observed population_year2007=144056 persons.
Curacao observed population_year2008=145880 persons.
Curacao observed population_year2009=146833 persons.
Curacao observed population_year2010=148703 persons.
Curacao observed population_year2011=150831 persons.
Curacao observed population_year2012=152088 persons.
Curacao observed population_year2013=153822 persons.
Curacao observed population_year2014=155909 persons.
Curacao observed population_year2015=157980 persons.
Curacao observed population_year2016=159664 persons.
Curacao observed population_year2017=160175 persons.
Curacao observed population_year2018=159336 persons.
Curacao observed population_year2019=157441 persons.
Curacao observed population_year2020=155482 persons.
Curacao observed population_year2021=153948 persons.
Curacao observed population_year2022=153321 persons.
Curacao observed population_year2023=154654 persons.
