Record: Dominican Republic (DOM), indicator=Total_Population
Dominican Republic observed population_year2000=8584190 persons.
Dominican Republic observed population_year2001=8720283 persons.
Dominican Republic observed population_year2002=8852235 persons.
Dominican Republic observed population_year2003=8980620 persons.
Dominican Republic observed population_year2004=9104892 persons.
Dominican Republic observed population_year2005=9225034 persons.
Dominican Republic observed population_year2006=9341183 persons.
Dominican Republic observed population_year2007=9455658 persons.
Dominican Republic observed population_year2008=9573130 persons.
Dominican Republic observed population_year2009=9695265 persons.
Dominican Republic observed population_year2010=9820175 persons.
Dominican Republic observed population_year2011=9945621 persons.
Dominican Republic observed population_year2012=10070411 persons.
Dominican Republic observed population_year2013=10193833 persons.
Dominican Republic observed population_year2014=10315528 persons.
Dominican Republic observed population_year2015=10434829 persons.
Dominican Republic observed population_year2016=10551430 persons.
Dominican Republic observed population_year2017=10666843 persons.
Dominican Republic observed population_year2018=10782053 persons.
Dominican Republic observed population_year2019=10894043 persons.
Dominican Republic observed population_year2020=11008300 persons.
Dominican Republic observed population_year2021=11123476 persons.
Dominican Republic observed population_year2022=11230734 persons.
Dominican Republic observed population_year2023=11331265 persons.
