Record: United Kingdom (GBR), indicator=Total_Population
United Kingdom observed population_year2000=58892514 persons.
United Kingdom observed population_year2001=59119673 persons.
United Kingdom observed population_year2002=59370479 persons.
United Kingdom observed population_year2003=59647577 persons.
United Kingdom observed population_year2004=59987905 persons.
United Kingdom observed population_year2005=60401206 persons.
United Kingdom observed population_year2006=60846820 persons.
United Kingdom observed population_year2007=61322463 persons.
United Kingdom observed population_year2008=61806995 persons.
United Kingdom observed population_year2009=62276270 persons.
United Kingdom observed population_year2010=62766365 persons.
United Kingdom observed population_year2011=63258810 persons.
United Kingdom observed population_year2012=63711000 persons.
United Kingdom observed population_year2013=64139000 persons.
United Kingdom observed population_year2014=64620000 persons.
United Kingdom observed population_year2015=65088000 persons.
United Kingdom observed population_year2016=65607000 persons.
United Kingdom observed population_year2017=65966000 persons.
United Kingdom observed population_year2018=66289000 persons.
United Kingdom observed population_year2019=66631000 persons.
United Kingdom observed population_year2020=66744000 persons.
United Kingdom observed population_year2021=66984000 persons.
United Kingdom observed population_year2022=67604000 persons.
United Kingdom observed population_year2023=68492000 persons.
