Record: Small states (SST), indicator=Total_Population
Small states observed population_year2000=15786741 persons.
Small states observed population_year2001=16017863 persons.
Small states observed population_year2002=16250203 persons.
Small states observed population_year2003=16441139 persons.
Small states observed population_year2004=16597133 persons.
Small states observed population_year2005=16699341 persons.
Small states observed population_year2006=16868546 persons.
Small states observed population_year2007=17047450 persons.
Small states observed population_year2008=17228345 persons.
Small states observed population_year2009=17398922 persons.
Small states observed population_year2010=17575200 persons.
Small states observed population_year2011=17748220 persons.
Small states observed population_year2012=17926451 persons.
Small states observed population_year2013=18107202 persons.
Small states observed population_year2014=18292084 persons.
Small states observed population_year2015=18482578 persons.
Small states observed population_year2016=18671045 persons.
Small states observed population_year2017=18865506 persons.
Small states observed population_year2018=19084934 persons.
Small states observed population_year2019=19293697 persons.
Small states observed population_year2020=19472157 persons.
Small states observed population_year2021=19646549 persons.
Small states observed population_year2022=19852364 persons.
Small states observed population_year2023=20031262 persons.
