Record: Central African Republic (CAF), indicator=Total_Population
Central African Republic observed population_year2000=3833416 persons.
Central African Republic observed population_year2001=3919487 persons.
Central African Republic observed population_year2002=4006077 persons.
Central African Republic observed population_year2003=4103086 persons.
Central African Republic observed population_year2004=4192826 persons.
Central African Republic observed population_year2005=4288810 persons.
Central African Republic observed population_year2006=4377579 persons.
Central African Republic observed population_year2007=4462770 persons.
Central African Republic observed population_year2008=4558984 persons.
Central African Republic observed population_year2009=4529047 persons.
Central African Republic observed population_year2010=4492995 persons.
Central African Republic observed population_year2011=4565021 persons.
Central African Republic observed population_year2012=4610848 persons.
Central African Republic observed population_year2013=4642419 persons.
Central African Republic observed population_year2014=4623182 persons.
Central African Republic observed population_year2015=4629320 persons.
Central African Republic observed population_year2016=4713663 persons.
Central African Republic observed population_year2017=4793511 persons.
Central African Republic observed population_year2018=4878657 persons.
Central African Republic observed population_year2019=4944703 persons.
Central African Republic observed population_year2020=5026628 persons.
Central African Republic observed population_year2021=5112100 persons.
Central African Republic observed population_year2022=5098039 persons.
Central African Republic observed population_year2023=5152421 persons.
