Record: British Virgin Islands (VGB), indicator=Total_Population
British Virgin Islands observed population_year2000=20241 persons.
British Virgin Islands observed population_year2001=20796 persons.
British Virgin Islands observed population_year2002=21430 persons.
British Virgin Islands observed population_year2003=22134 persons.
British Virgin Islands observed population_year2004=22881 persons.
British Virgin Islands observed population_year2005=23665 persons.
British Virgin Islands observed population_year2006=24493 persons.
British Virgin Islands observed population_year2007=25366 persons.
British Virgin Islands observed population_year2008=26288 persons.
British Virgin Islands observed population_year2009=27218 persons.
British Virgin Islands observed population_year2010=27675 persons.
British Virgin Islands observed population_year2011=28710 persons.
British Virgin Islands observed population_year2012=30345 persons.
British Virgin Islands observed population_year2013=31703 persons.
British Virgin Islands observed population_year2014=32962 persons.
British Virgin Islands observed population_year2015=34498 persons.
British Virgin Islands observed population_year2016=33878 persons.
British Virgin Islands observed population_year2017=32699 persons.
British Virgin Islands observed population_year2018=34657 persons.
British Virgin Islands observed population_year2019=36395 persons.
British Virgin Islands observed population_year2020=37135 persons.
British Virgin Islands observed population_year2021=37809 persons.
British Virgin Islands observed population_year2022=38319 persons.
British Virgin Islands observed population_year2023=38985 persons.
