Record: Singapore (SGP), indicator=Total_Population
Singapore observed population_year2000=4027887 persons.
Singapore observed population_year2001=4138012 persons.
Singapore observed population_year2002=4175950 persons.
Singapore observed population_year2003=4114826 persons.
Singapore observed population_year2004=4166664 persons.
Singapore observed population_year2005=4265762 persons.
Singapore observed population_year2006=4401365 persons.
Singapore observed population_year2007=4588599 persons.
Singapore observed population_year2008=4839396 persons.
Singapore observed population_year2009=4987573 persons.
Singapore observed population_year2010=5076732 persons.
Singapore observed population_year2011=5183688 persons.
Singapore observed population_year2012=5312437 persons.
Singapore observed population_year2013=5399162 persons.
Singapore observed population_year2014=5469724 persons.
Singapore observed population_year2015=5535002 persons.
Singapore observed population_year2016=5607283 persons.
Singapore observed population_year2017=5612253 persons.
Singapore observed population_year2018=5638676 persons.
Singapore observed population_year2019=5703569 persons.
Singapore observed population_year2020=5685807 persons.
Singapore observed population_year2021=5453566 persons.
Singapore observed population_year2022=5637022 persons.
Singapore observed population_year2023=5917648 persons.
