Record: El Salvador (SLV), indicator=Total_Population
El Salvador observed population_year2000=5943366 persons.
El Salvador observed population_year2001=5968060 persons.
El Salvador observed population_year2002=5986631 persons.
El Salvador observed population_year2003=5998599 persons.
El Salvador observed population_year2004=6004671 persons.
El Salvador observed population_year2005=6005578 persons.
El Salvador observed population_year2006=6002319 persons.
El Salvador observed population_year2007=6009824 persons.
El Salvador observed population_year2008=6029297 persons.
El Salvador observed population_year2009=6048279 persons.
El Salvador observed population_year2010=6068249 persons.
El Salvador observed population_year2011=6090127 persons.
El Salvador observed population_year2012=6113975 persons.
El Salvador observed population_year2013=6138839 persons.
El Salvador observed population_year2014=6162955 persons.
El Salvador observed population_year2015=6183676 persons.
El Salvador observed population_year2016=6200800 persons.
El Salvador observed population_year2017=6213533 persons.
El Salvador observed population_year2018=6219807 persons.
El Salvador observed population_year2019=6222318 persons.
El Salvador observed population_year2020=6234673 persons.
El Salvador observed population_year2021=6255782 persons.
El Salvador observed population_year2022=6280319 persons.
El Salvador observed population_year2023=6309624 persons.
