Record: South Africa (ZAF), indicator=Total_Population
South Africa observed population_year2000=47159719 persons.
South Africa observed population_year2001=47566800 persons.
South Africa observed population_year2002=48019415 persons.
South Africa observed population_year2003=48500348 persons.
South Africa observed population_year2004=48991421 persons.
South Africa observed population_year2005=49490033 persons.
South Africa observed population_year2006=49998277 persons.
South Africa observed population_year2007=50528584 persons.
South Africa observed population_year2008=51114599 persons.
South Africa observed population_year2009=51728516 persons.
South Africa observed population_year2010=52344051 persons.
South Africa observed population_year2011=52995205 persons.
South Africa observed population_year2012=53782567 persons.
South Africa observed population_year2013=54678791 persons.
South Africa observed population_year2014=55594838 persons.
South Africa observed population_year2015=56723537 persons.
South Africa observed population_year2016=57259551 persons.
South Africa observed population_year2017=57635162 persons.
South Africa observed population_year2018=58613001 persons.
South Africa observed population_year2019=59587885 persons.
South Africa observed population_year2020=60562381 persons.
South Africa observed population_year2021=61502603 persons.
South Africa observed population_year2022=62378410 persons.
South Africa observed population_year2023=63212384 persons.
