Record: Caribbean small states (CSS), indicator=Total_Population
Caribbean small states observed population_year2000=3956229 persons.
Caribbean small states observed population_year2001=3987087 persons.
Caribbean small states observed population_year2002=4018796 persons.
Caribbean small states observed population_year2003=4050990 persons.
Caribbean small states observed population_year2004=4080569 persons.
Caribbean small states observed population_year2005=4049468 persons.
Caribbean small states observed population_year2006=4072929 persons.
Caribbean small states observed population_year2007=4098855 persons.
Caribbean small states observed population_year2008=4124966 persons.
Caribbean small states observed population_year2009=4146899 persons.
Caribbean small states observed population_year2010=4173335 persons.
Caribbean small states observed population_year2011=4201107 persons.
Caribbean small states observed population_year2012=4228445 persons.
Caribbean small states observed population_year2013=4257682 persons.
Caribbean small states observed population_year2014=4286546 persons.
Caribbean small states observed population_year2015=4314191 persons.
Caribbean small states observed population_year2016=4341333 persons.
Caribbean small states observed population_year2017=4366140 persons.
Caribbean small states observed population_year2018=4407658 persons.
Caribbean small states observed population_year2019=4443134 persons.
Caribbean small states observed population_year2020=4459302 persons.
Caribbean small states observed population_year2021=4479167 persons.
Caribbean small states observed population_year2022=4497310 persons.
Caribbean small states observed population_year2023=4519904 persons.
