Record: Mauritius (MUS), indicator=Total_Population
Mauritius observed population_year2000=1186873 persons.
Mauritius observed population_year2001=1196287 persons.
Mauritius observed population_year2002=1204621 persons.
Mauritius observed population_year2003=1213370 persons.
Mauritius observed population_year2004=1221003 persons.
Mauritius observed population_year2005=1228254 persons.
Mauritius observed population_year2006=1233996 persons.
Mauritius observed population_year2007=1239630 persons.
Mauritius observed population_year2008=1244121 persons.
Mauritius observed population_year2009=1247429 persons.
Mauritius observed population_year2010=1250400 persons.
Mauritius observed population_year2011=1252404 persons.
Mauritius observed population_year2012=1255882 persons.
Mauritius observed population_year2013=1258927 persons.
Mauritius observed population_year2014=1261208 persons.
Mauritius observed population_year2015=1262879 persons.
Mauritius observed population_year2016=1263747 persons.
Mauritius observed population_year2017=1264887 persons.
Mauritius observed population_year2018=1265577 persons.
Mauritius observed population_year2019=1265985 persons.
Mauritius observed population_year2020=1266014 persons.
Mauritius observed population_year2021=1266334 persons.
Mauritius observed population_year2022=1262523 persons.
Mauritius observed population_year2023=1248647 persons.
